"","term","gene","human","mouse"
"31","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Bcor","BCOR","Bcor"
"32","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Birc5","BIRC5","Birc5"
"33","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Brca1","BRCA1","Brca1"
"34","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Brca2","BRCA2","Brca2"
"35","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"BTF3,",NA
"36","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Bub1","BUB1","Bub1"
"37","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Bub1b","BUB1B","Bub1b"
"38","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"C10ORF86",NA
"39","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"C11ORF73",NA
"40","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"C14ORF104",NA
"41","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"C14ORF106",NA
"42","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"C15ORF23",NA
"43","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"C17ORF68",NA
"44","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"C18ORF24",NA
"45","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"C1ORF155",NA
"46","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"C1ORF181",NA
"47","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"C1ORF31",NA
"48","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"C1QDC1",NA
"49","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"C2ORF3",NA
"50","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"C2ORF37",NA
"51","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"C3ORF26",NA
"52","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"C4ORF21",NA
"53","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"C5ORF24",NA
"54","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"C6ORF173/CUG2",NA
"55","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"C6ORF75",NA
"56","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"C8ORF30A",NA
"57","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"C9ORF41",NA
"58","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"C9ORF77",NA
"59","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"CA2",NA
"60","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"CABC1",NA
"61","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Card11","CARD11","Card11"
"62","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Casp8ap2","CASP8AP2","Casp8ap2"
"63","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Cbfb","CBFB","Cbfb"
"64","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Cbll1","CBLL1","Cbll1"
"65","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Cbx1","CBX1","Cbx1"
"66","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Cbx5","CBX5","Cbx5"
"67","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ccna2","CCNA2","Ccna2"
"68","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ccnb2","CCNB2","Ccnb2"
"69","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ccnd1","CCND1","Ccnd1"
"70","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ccnd2","CCND2","Ccnd2"
"71","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ccne2","CCNE2","Ccne2"
"72","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Cct2","CCT2","Cct2"
"73","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Cct3","CCT3","Cct3"
"74","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Cct4","CCT4","Cct4"
"75","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Cct5","CCT5","Cct5"
"76","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Cd2ap","CD2AP","Cd2ap"
"77","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Cd44","CD44","Cd44"
"78","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"CDC2",NA
"79","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Cdc20","CDC20","Cdc20"
"80","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Cdc25c","CDC25C","Cdc25c"
"81","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Cdc6","CDC6","Cdc6"
"82","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Cdc7","CDC7","Cdc7"
"83","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"CDCA1",NA
"84","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Cdca4","CDCA4","Cdca4"
"85","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Cdkn3","CDKN3","Cdkn3"
"86","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Cdo1","CDO1","Cdo1"
"87","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Cdt1","CDT1","Cdt1"
"88","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Cdv3","CDV3","Cdv3"
"89","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Cenpe","CENPE","Cenpe"
"90","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Cenph","CENPH","Cenph"
"91","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"CES1",NA
"92","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Cetn3","CETN3","Cetn3"
"93","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Cfi","CFI","Cfi"
"94","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"CGI-09",NA
"95","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"CGI-115",NA
"96","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Chaf1b","CHAF1B","Chaf1b"
"97","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Chek1","CHEK1","Chek1"
"98","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Chek2","CHEK2","Chek2"
"99","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Chtf18","CHTF18","Chtf18"
"100","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"CIP29",NA
"101","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ckap2","CKAP2","Ckap2"
"102","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Cldn2","CLDN2","Cldn2"
"103","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Clpx","CLPX","Clpx"
"104","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"C-MYC",NA
"105","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"CNAP1",NA
"106","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Cnn3","CNN3","Cnn3"
"107","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Cnnm3","CNNM3","Cnnm3"
"108","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Cnot7","CNOT7","Cnot7"
"109","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"CP110",NA
"110","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Cpt1a","CPT1A","Cpt1a"
"111","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Creb1","CREB1","Creb1"
"112","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Crim1","CRIM1","Crim1"
"113","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Crppa","CRP","Crppa"
"114","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Crym","CRYM","Crym"
"115","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"CSPG6",NA
"116","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Csrp2","CSRP2","Csrp2"
"117","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ctbp2","CTBP2","Ctbp2"
"118","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ctcf","CTCF","Ctcf"
"119","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ctnnb1","CTNNB1","Ctnnb1"
"120","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ctps","CTPS","Ctps"
"121","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Cubn","CUBN","Cubn"
"122","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Cybrd1","CYBRD1","Cybrd1"
"123","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"CYP2C18",NA
"124","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"CYP2C9",NA
"125","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"CYP3A43",NA
"126","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Cyp3a57","CYP3A5","Cyp3a57"
"127","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"DCC1",NA
"128","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Dck","DCK","Dck"
"129","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Dctd","DCTD","Dctd"
"130","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ddx1","DDX1","Ddx1"
"131","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ddx21","DDX21","Ddx21"
"132","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ddx5","DDX5","Ddx5"
"133","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Dek","DEK","Dek"
"134","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"DERPC",NA
"135","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Dhfr","DHFR","Dhfr"
"136","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Dhx15","DHX15","Dhx15"
"137","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Dhx36","DHX36","Dhx36"
"138","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Diaph3","DIAPH3","Diaph3"
"139","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"DKFZP564K142",NA
"140","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"DKFZP686A10121",NA
"141","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Dld","DLD","Dld"
"142","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Dmd","DMD","Dmd"
"143","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Dnmt1","DNMT1","Dnmt1"
"144","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Drg1","DRG1","Drg1"
"145","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Dtymk","DTYMK","Dtymk"
"146","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","E2f1","E2F1","E2f1"
"147","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","E2f5","E2F5","E2f5"
"148","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ect2","ECT2","Ect2"
"149","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Eed","EED","Eed"
"150","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Eef1d","EEF1D","Eef1d"
"151","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Eefsec","EEFSEC","Eefsec"
"152","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Egfr","EGFR","Egfr"
"153","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ehf","EHF","Ehf"
"154","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Eif2a","EIF2A","Eif2a"
"155","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Eif2s1","EIF2S1","Eif2s1"
"156","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Eif2s2","EIF2S2","Eif2s2"
"157","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"EIF2S3",NA
"158","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"EIF3S10",NA
"159","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"EIF3S5",NA
"160","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"EIF3S6",NA
"161","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"EIF3S6IP",NA
"162","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Eif4a1","EIF4A1","Eif4a1"
"163","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Eif5","EIF5","Eif5"
"164","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Elf2","ELF2","Elf2"
"165","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Enpp3","ENPP3","Enpp3"
"166","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ephb2","EPHB2","Ephb2"
"167","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ephb3","EPHB3","Ephb3"
"168","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ephb4","EPHB4","Ephb4"
"169","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ergic1","ERGIC1","Ergic1"
"170","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Erh","ERH","Erh"
"171","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"ESRRG",NA
"172","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"ETAA16",NA
"173","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Evl","EVL","Evl"
"174","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Exo1","EXO1","Exo1"
"175","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ezh2","EZH2","Ezh2"
"176","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"FAM29A",NA
"177","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"FAM82C",NA
"178","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Fbl","FBL","Fbl"
"179","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Fbp1","FBP1","Fbp1"
"180","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Fbxo5","FBXO5","Fbxo5"
"181","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Fen1","FEN1","Fen1"
"182","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Fgd1","FGD1","Fgd1"
"183","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Fgf1","FGF1","Fgf1"
"184","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Fgfbp1","FGFBP1","Fgfbp1"
"185","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Fignl1","FIGNL1","Fignl1"
"186","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Fkbp3","FKBP3","Fkbp3"
"187","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"FKSG14",NA
"188","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"FLJ10154",NA
"189","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"FLJ11021",NA
"190","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"FLJ11171",NA
"191","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"FLJ11184",NA
"192","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"FLJ11506",NA
"193","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"FLJ13946",NA
"194","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"FLJ14668",NA
"195","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"FLJ20297",NA
"196","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"FLJ20534",NA
"197","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"FLJ21125",NA
"198","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"FLJ22624",NA
"199","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"FLJ25416",NA
"200","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"FLJ30655",NA
"201","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"FLJ30990",NA
"202","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"FLJ32363",NA
"203","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"FLJ39743",NA
"204","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Foxm1","FOXM1","Foxm1"
"205","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Fras1","FRAS1","Fras1"
"206","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"FSHPRH1",NA
"207","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Fzd1","FZD1","Fzd1"
"208","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Gart","GART","Gart"
"209","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Gcdh","GCDH","Gcdh"
"210","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"GCN5L2",NA
"211","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"GCS1",NA
"212","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Gemin4","GEMIN4","Gemin4"
"213","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Gfer","GFER","Gfer"
"214","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Gjb3","GJB3","Gjb3"
"215","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Gmps","GMPS","Gmps"
"216","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Gnai3","GNAI3","Gnai3"
"217","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Gnpnat1","GNPNAT1","Gnpnat1"
"218","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"GPIAP1",NA
"219","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Grsf1","GRSF1","Grsf1"
"220","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Grwd1","GRWD1","Grwd1"
"221","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"GSG2",NA
"222","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Gstm1","GSTM1","Gstm1"
"223","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"GTL3",NA
"224","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Gtpbp4","GTPBP4","Gtpbp4"
"225","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","H2afy","H2AFY","H2afy"
"226","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","H2afz","H2AFZ","H2afz"
"227","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"H2-ALPHA",NA
"228","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"HADHSC",NA
"229","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Hat1","HAT1","Hat1"
"230","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"HBA2",NA
"231","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"HBB",NA
"232","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"HBXAP",NA
"233","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"HCP1",NA
"234","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Hdac2","HDAC2","Hdac2"
"235","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"HDCMA18P",NA
"236","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Hdgf","HDGF","Hdgf"
"237","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Hells","HELLS","Hells"
"238","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Hemgn","HEMGN","Hemgn"
"239","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Hist1h2ad","HIST1H2AD","Hist1h2ad"
"240","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"HIST2H2BF",NA
"241","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Hmga2","HMGA2","Hmga2"
"242","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Hmgb1","HMGB1","Hmgb1"
"243","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Hmgb2","HMGB2","Hmgb2"
"244","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Hmgb3","HMGB3","Hmgb3"
"245","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Hmgn1","HMGN1","Hmgn1"
"246","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Hmgn2","HMGN2","Hmgn2"
"247","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"HNRPAB",NA
"248","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"HNRPR",NA
"249","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"HRSP12",NA
"250","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"HSCARG/NMRAL1",NA
"251","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Hsf1","HSF1","Hsf1"
"252","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Hspa8","HSPA8","Hspa8"
"253","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ide","IDE","Ide"
"254","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ifitm2","IFITM2","Ifitm2"
"255","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"IKBKAP",NA
"256","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ilf3","ILF3","Ilf3"
"257","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Impa2","IMPA2","Impa2"
"258","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Impdh2","IMPDH2","Impdh2"
"259","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Incenp","INCENP","Incenp"
"260","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Invs","INVS","Invs"
"261","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",NA,"IPF1",NA
"262","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Ivd","IVD","Ivd"
"263","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Kcne3","KCNE3","Kcne3"
"264","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Kcnn4","KCNN4","Kcnn4"
"265","Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","Kcnq1","KCNQ1","Kcnq1"
